compound_id,protein_id,molecular_weight,logp,h_bond_donors,h_bond_acceptors,rotatable_bonds,polar_surface_area,compound_clogp,protein_length,protein_pi,hydrophobicity,binding_site_size,mw_ratio,logp_pi_interaction,binding_affinity,active
CID_00000,PID_361,499.67141530112326,2.487232587538428,1,7,4,113.35081706662132,4.050695616519293,678,6.019657217105079,0.81253403121251,12.512165404542445,0.7369784886447246,14.972287596194638,5.996664621837803,0
CID_00001,PID_165,436.1735698828815,3.2832219939267233,3,4,4,71.9811318524487,3.704408407970221,876,6.447407819905116,0.6514165159382422,11.538420295659154,0.4979150341128784,21.168271158127624,6.445742378174561,0
CID_00002,PID_168,514.7688538100692,,2,11,11,83.93630678437236,1.869610464570529,658,3.925836507088183,0.6334672280670426,13.15570181468846,0.7823234860335398,9.074061192600267,5.689583015823242,0
CID_00003,PID_226,602.3029856408025,3.0380577055414397,0,5,5,79.86812509044209,2.4519091990542217,312,7.5970556011799655,0.5130382534887084,12.071822442394431,1.9304582873102645,23.08029330859155,6.043437632293975,0
CID_00004,PID_224,426.5846625276664,0.6595779995693216,2,4,5,88.1986764351942,1.771935995309609,1418,4.249453713432249,0.61357131201758,15.85044759917829,0.3008354460702866,2.802846179568068,4.845054928329515,0
CID_00005,PID_201,426.58630430508197,3.8199405610594077,2,1,5,77.31638833925976,2.1118386759249836,1243,4.613012571023201,,18.652637302250362,0.34319091255437006,17.621433828728467,6.299797123341867,0
CID_00006,PID_313,607.9212815507392,3.5018082130433363,1,11,4,80.24229176786437,3.5801511722182644,657,5.282395058850025,0.6527199374182909,15.612028054112699,0.9252987542629212,18.497934401620554,6.233966955142608,0
CID_00007,PID_477,526.7434729152909,2.274367053397714,0,3,5,124.78780872847335,2.783815219142318,839,6.382959255477441,0.4987176007064832,12.237889980939988,0.6278229712935529,14.517192233837893,5.938336101146682,0
CID_00008,PID_249,403.05256140650476,4.488868502648607,0,2,5,93.11870041158797,4.035317792869435,1308,4.552729573785369,0.6171409545606291,17.56613124307788,0.3081441600967162,20.43660438484196,6.596270153697496,0
CID_00009,PID_164,504.25600435859644,4.906355206439837,1,7,6,89.56669970530447,0.9031602073006952,775,5.227529319122204,0.5491065654238814,15.890644488299126,0.6506529088498019,25.648115691692123,7.00971600532088,1
